Month,flu symptoms,fever,Cough,sore throat,Tamiflu
2010-09,5,46,27,14,0
2010-10,7,44,28,13,0
2010-11,9,53,35,17,0
2010-12,8,45,34,18,2
2011-01,13,63,42,19,3
2011-02,14,73,39,19,5
2011-03,8,66,36,20,3
2011-04,5,58,31,20,1
2011-05,4,55,29,18,0
2011-06,3,53,25,19,0
2011-07,3,50,20,15,0
2011-08,3,49,23,15,0
2011-09,6,56,34,18,0
2011-10,8,52,39,16,<1
2011-11,9,55,49,20,1
2011-12,10,51,49,22,1
2012-01,10,57,41,19,1
2012-02,10,59,48,20,1
2012-03,10,61,45,20,3
2012-04,6,62,40,22,1
2012-05,4,60,35,22,1
2012-06,4,49,30,18,0
2012-07,4,49,33,17,<1
2012-08,6,54,34,18,<1
2012-09,6,53,39,22,<1
2012-10,8,66,44,20,<1
2012-11,10,55,46,23,2
2012-12,22,67,56,28,9
2013-01,52,67,54,27,13
2013-02,17,60,43,25,4
2013-03,11,59,38,23,3
2013-04,8,56,35,20,1
2013-05,4,52,35,23,<1
2013-06,4,51,32,21,<1
2013-07,3,51,28,19,<1
2013-08,3,46,29,20,0
2013-09,5,50,38,21,1
2013-10,7,51,42,19,1
2013-11,7,50,47,24,1
2013-12,16,58,50,24,4
2014-01,20,57,48,23,7
2014-02,10,67,39,23,3
2014-03,8,59,39,24,2
2014-04,7,57,39,23,1
2014-05,5,57,36,25,1
2014-06,3,53,32,22,0
2014-07,3,53,28,21,0
2014-08,3,56,30,21,<1
2014-09,5,56,40,23,<1
2014-10,9,55,42,22,1
2014-11,9,57,48,25,2
2014-12,29,74,62,32,17
2015-01,19,66,50,24,9
2015-02,12,65,45,23,3
2015-03,11,75,51,26,4
2015-04,12,64,44,22,2
2015-05,6,59,37,23,1
2015-06,4,55,31,22,<1
2015-07,4,54,32,20,0
2015-08,4,53,32,19,<1
2015-09,5,55,40,23,<1
2015-10,8,58,46,22,1
2015-11,8,60,54,24,1
2015-12,10,65,54,27,2
2016-01,9,61,58,27,2
2016-02,11,78,57,27,6
2016-03,12,73,50,26,7
2016-04,6,54,40,26,2
2016-05,4,53,38,26,1
2016-06,3,51,34,22,<1
2016-07,3,54,29,19,<1
2016-08,3,52,31,21,<1
2016-09,5,61,45,25,1
2016-10,6,49,43,23,1
2016-11,7,56,55,28,1
2016-12,8,58,57,28,2
2017-01,13,78,61,28,4
2017-02,18,94,63,30,9
2017-03,10,79,47,27,7
2017-04,6,63,45,26,2
2017-05,3,51,40,27,1
2017-06,3,56,35,22,<1
2017-07,3,53,31,20,0
2017-08,3,51,33,22,<1
2017-09,5,63,43,27,1
2017-10,6,57,47,23,1
2017-11,9,58,56,29,1
2017-12,18,80,67,33,7
2018-01,62,100,74,32,34
2018-02,53,96,60,28,30
2018-03,15,70,55,29,8
2018-04,8,63,48,27,4
2018-05,5,62,42,26,1
2018-06,4,57,40,24,<1
2018-07,3,62,34,23,1
2018-08,3,54,35,23,0
2018-09,6,58,43,25,1
2018-10,9,54,48,24,1
2018-11,11,57,61,29,2
2018-12,13,68,70,33,3
2019-01,17,75,61,32,6
2019-02,17,72,57,27,9
2019-03,17,81,56,30,12
2019-04,9,66,50,27,4
2019-05,5,57,48,29,1
2019-06,4,55,45,26,1
2019-07,3,56,38,23,<1
2019-08,4,56,39,25,<1
2019-09,6,58,51,28,1
2019-10,10,61,61,28,1
